estimator,obs_prob,query_obs_prob,n_models,seed,predictor,mds_dim,bias_decomp,logit,mae
rbf_paired,0.3,1.0,95,0,ols,2,True,True,0.11393301891378564
rbf_unpaired,0.3,1.0,95,0,ols,2,True,True,0.11097167298066939
rbf_combined,0.3,1.0,95,0,ols,2,True,True,0.12631829522761864
matcomplete,0.3,1.0,95,0,na,0,True,True,0.12335190589155515
rbf_paired,0.3,1.0,95,1,ols,2,True,True,0.12111550985081708
rbf_unpaired,0.3,1.0,95,1,ols,2,True,True,0.12405617948430596
rbf_combined,0.3,1.0,95,1,ols,2,True,True,0.11170544336756083
matcomplete,0.3,1.0,95,1,na,0,True,True,0.10366171581369298
rbf_paired,0.3,1.0,95,2,ols,2,True,True,0.10575462619356188
rbf_unpaired,0.3,1.0,95,2,ols,2,True,True,0.11138149841662848
rbf_combined,0.3,1.0,95,2,ols,2,True,True,0.10338484119683501
matcomplete,0.3,1.0,95,2,na,0,True,True,0.08706442005117142
rbf_paired,0.3,1.0,95,3,ols,2,True,True,0.10410423025250896
rbf_unpaired,0.3,1.0,95,3,ols,2,True,True,0.0967974443644753
rbf_combined,0.3,1.0,95,3,ols,2,True,True,0.09666205037080274
matcomplete,0.3,1.0,95,3,na,0,True,True,0.0933105738421004
rbf_paired,0.3,1.0,95,4,ols,2,True,True,0.10852436291242754
rbf_unpaired,0.3,1.0,95,4,ols,2,True,True,0.09955896407823679
rbf_combined,0.3,1.0,95,4,ols,2,True,True,0.11019105070412254
matcomplete,0.3,1.0,95,4,na,0,True,True,0.11432483305600731
rbf_paired,0.3,1.0,95,5,ols,2,True,True,0.10270943947895272
rbf_unpaired,0.3,1.0,95,5,ols,2,True,True,0.10628668507078583
rbf_combined,0.3,1.0,95,5,ols,2,True,True,0.11274874955592798
matcomplete,0.3,1.0,95,5,na,0,True,True,0.08610135077480044
rbf_paired,0.3,1.0,95,6,ols,2,True,True,0.09123157208515045
rbf_unpaired,0.3,1.0,95,6,ols,2,True,True,0.08806035634029885
rbf_combined,0.3,1.0,95,6,ols,2,True,True,0.10218506553828685
matcomplete,0.3,1.0,95,6,na,0,True,True,0.10643422795842031
rbf_paired,0.3,1.0,95,7,ols,2,True,True,0.10255197247514747
rbf_unpaired,0.3,1.0,95,7,ols,2,True,True,0.10755800936938842
rbf_combined,0.3,1.0,95,7,ols,2,True,True,0.1037171909137324
matcomplete,0.3,1.0,95,7,na,0,True,True,0.12083588811586347
rbf_paired,0.3,1.0,95,8,ols,2,True,True,0.1087462499283998
rbf_unpaired,0.3,1.0,95,8,ols,2,True,True,0.10958311699269327
rbf_combined,0.3,1.0,95,8,ols,2,True,True,0.11779558439825584
matcomplete,0.3,1.0,95,8,na,0,True,True,0.09264889030240094
rbf_paired,0.3,1.0,95,9,ols,2,True,True,0.09268385740285477
rbf_unpaired,0.3,1.0,95,9,ols,2,True,True,0.09853416244119323
rbf_combined,0.3,1.0,95,9,ols,2,True,True,0.10102868140371053
matcomplete,0.3,1.0,95,9,na,0,True,True,0.08580522484678349
rbf_paired,0.3,1.0,95,10,ols,2,True,True,0.11526680907040875
rbf_unpaired,0.3,1.0,95,10,ols,2,True,True,0.112335926881872
rbf_combined,0.3,1.0,95,10,ols,2,True,True,0.11366978928648114
matcomplete,0.3,1.0,95,10,na,0,True,True,0.09056753491171576
rbf_paired,0.3,1.0,95,11,ols,2,True,True,0.08536617876438699
rbf_unpaired,0.3,1.0,95,11,ols,2,True,True,0.09325557720275766
rbf_combined,0.3,1.0,95,11,ols,2,True,True,0.10041811144729587
matcomplete,0.3,1.0,95,11,na,0,True,True,0.09446786335310685
rbf_paired,0.3,1.0,95,12,ols,2,True,True,0.10459432210767251
rbf_unpaired,0.3,1.0,95,12,ols,2,True,True,0.10318498582547249
rbf_combined,0.3,1.0,95,12,ols,2,True,True,0.1090117574748939
matcomplete,0.3,1.0,95,12,na,0,True,True,0.09851162053880068
rbf_paired,0.3,1.0,95,13,ols,2,True,True,0.11333934791841693
rbf_unpaired,0.3,1.0,95,13,ols,2,True,True,0.10759246775029262
rbf_combined,0.3,1.0,95,13,ols,2,True,True,0.11525095845992239
matcomplete,0.3,1.0,95,13,na,0,True,True,0.08423929013622178
rbf_paired,0.3,1.0,95,14,ols,2,True,True,0.10078259747953097
rbf_unpaired,0.3,1.0,95,14,ols,2,True,True,0.1033694638325908
rbf_combined,0.3,1.0,95,14,ols,2,True,True,0.10644659748557563
matcomplete,0.3,1.0,95,14,na,0,True,True,0.09117868063094882
rbf_paired,0.3,1.0,95,15,ols,2,True,True,0.09994286287976258
rbf_unpaired,0.3,1.0,95,15,ols,2,True,True,0.10048492258760637
rbf_combined,0.3,1.0,95,15,ols,2,True,True,0.10839666383268394
matcomplete,0.3,1.0,95,15,na,0,True,True,0.10633678995838727
rbf_paired,0.3,1.0,95,16,ols,2,True,True,0.0908677916814795
rbf_unpaired,0.3,1.0,95,16,ols,2,True,True,0.09378532282651782
rbf_combined,0.3,1.0,95,16,ols,2,True,True,0.10638854776766472
matcomplete,0.3,1.0,95,16,na,0,True,True,0.08560053591354104
rbf_paired,0.3,1.0,95,17,ols,2,True,True,0.10576974425904348
rbf_unpaired,0.3,1.0,95,17,ols,2,True,True,0.11737427827473491
rbf_combined,0.3,1.0,95,17,ols,2,True,True,0.11168261461119684
matcomplete,0.3,1.0,95,17,na,0,True,True,0.08944143919093946
rbf_paired,0.3,1.0,95,18,ols,2,True,True,0.10481939297902779
rbf_unpaired,0.3,1.0,95,18,ols,2,True,True,0.10483660802432224
rbf_combined,0.3,1.0,95,18,ols,2,True,True,0.1062294275447846
matcomplete,0.3,1.0,95,18,na,0,True,True,0.09451400387179346
rbf_paired,0.3,1.0,95,19,ols,2,True,True,0.1199913269617758
rbf_unpaired,0.3,1.0,95,19,ols,2,True,True,0.10835340392297782
rbf_combined,0.3,1.0,95,19,ols,2,True,True,0.10525150374930682
matcomplete,0.3,1.0,95,19,na,0,True,True,0.10020708420939987
rbf_paired,0.3,1.0,95,20,ols,2,True,True,0.0995708427470484
rbf_unpaired,0.3,1.0,95,20,ols,2,True,True,0.09499713696462363
rbf_combined,0.3,1.0,95,20,ols,2,True,True,0.10524921123708288
matcomplete,0.3,1.0,95,20,na,0,True,True,0.08898837891217062
rbf_paired,0.3,1.0,95,21,ols,2,True,True,0.09235766288276771
rbf_unpaired,0.3,1.0,95,21,ols,2,True,True,0.095458638811785
rbf_combined,0.3,1.0,95,21,ols,2,True,True,0.09954526132435587
matcomplete,0.3,1.0,95,21,na,0,True,True,0.08026486930377502
rbf_paired,0.3,1.0,95,22,ols,2,True,True,0.11062422640327929
rbf_unpaired,0.3,1.0,95,22,ols,2,True,True,0.10268282910593109
rbf_combined,0.3,1.0,95,22,ols,2,True,True,0.11474220389266689
matcomplete,0.3,1.0,95,22,na,0,True,True,0.09179735392188118
rbf_paired,0.3,1.0,95,23,ols,2,True,True,0.10633945352601022
rbf_unpaired,0.3,1.0,95,23,ols,2,True,True,0.1101984321795742
rbf_combined,0.3,1.0,95,23,ols,2,True,True,0.13078114020607434
matcomplete,0.3,1.0,95,23,na,0,True,True,0.11949339659264781
rbf_paired,0.3,1.0,95,24,ols,2,True,True,0.10115397783616943
rbf_unpaired,0.3,1.0,95,24,ols,2,True,True,0.10166824142682726
rbf_combined,0.3,1.0,95,24,ols,2,True,True,0.10247216929614351
matcomplete,0.3,1.0,95,24,na,0,True,True,0.08303407641224098
rbf_paired,0.3,1.0,95,0,ols,4,True,True,0.13168392865770848
rbf_unpaired,0.3,1.0,95,0,ols,4,True,True,0.20272331886351133
rbf_combined,0.3,1.0,95,0,ols,4,True,True,0.09625357387815485
matcomplete,0.3,1.0,95,0,na,0,True,True,0.12335190589155515
rbf_paired,0.3,1.0,95,1,ols,4,True,True,0.12416334376022657
rbf_unpaired,0.3,1.0,95,1,ols,4,True,True,0.18612326700123535
rbf_combined,0.3,1.0,95,1,ols,4,True,True,0.11027278325793159
matcomplete,0.3,1.0,95,1,na,0,True,True,0.10366171581369298
rbf_paired,0.3,1.0,95,2,ols,4,True,True,0.09785851492688732
rbf_unpaired,0.3,1.0,95,2,ols,4,True,True,0.1370419341597626
rbf_combined,0.3,1.0,95,2,ols,4,True,True,0.11080668277731925
matcomplete,0.3,1.0,95,2,na,0,True,True,0.08706442005117142
rbf_paired,0.3,1.0,95,3,ols,4,True,True,0.10084072852493196
rbf_unpaired,0.3,1.0,95,3,ols,4,True,True,0.09255572171337309
rbf_combined,0.3,1.0,95,3,ols,4,True,True,0.10033809016456802
matcomplete,0.3,1.0,95,3,na,0,True,True,0.0933105738421004
rbf_paired,0.3,1.0,95,4,ols,4,True,True,0.10939711623102137
rbf_unpaired,0.3,1.0,95,4,ols,4,True,True,0.10121600370999896
rbf_combined,0.3,1.0,95,4,ols,4,True,True,0.11129879412478076
matcomplete,0.3,1.0,95,4,na,0,True,True,0.11432483305600731
rbf_paired,0.3,1.0,95,5,ols,4,True,True,0.09506564163101981
rbf_unpaired,0.3,1.0,95,5,ols,4,True,True,0.10662758323561791
rbf_combined,0.3,1.0,95,5,ols,4,True,True,0.11733338701359983
matcomplete,0.3,1.0,95,5,na,0,True,True,0.08610135077480044
rbf_paired,0.3,1.0,95,6,ols,4,True,True,0.10707268322902432
rbf_unpaired,0.3,1.0,95,6,ols,4,True,True,0.1060478915313878
rbf_combined,0.3,1.0,95,6,ols,4,True,True,0.10219527140420735
matcomplete,0.3,1.0,95,6,na,0,True,True,0.10643422795842031
rbf_paired,0.3,1.0,95,7,ols,4,True,True,0.10572701103019688
rbf_unpaired,0.3,1.0,95,7,ols,4,True,True,0.12449372816670579
rbf_combined,0.3,1.0,95,7,ols,4,True,True,0.10986886360992285
matcomplete,0.3,1.0,95,7,na,0,True,True,0.12083588811586347
rbf_paired,0.3,1.0,95,8,ols,4,True,True,0.09749235745685612
rbf_unpaired,0.3,1.0,95,8,ols,4,True,True,0.21422084960389914
rbf_combined,0.3,1.0,95,8,ols,4,True,True,0.11128194082677889
matcomplete,0.3,1.0,95,8,na,0,True,True,0.09264889030240094
rbf_paired,0.3,1.0,95,9,ols,4,True,True,0.09259805013747673
rbf_unpaired,0.3,1.0,95,9,ols,4,True,True,0.1478110431126449
rbf_combined,0.3,1.0,95,9,ols,4,True,True,0.10409149969463768
matcomplete,0.3,1.0,95,9,na,0,True,True,0.08580522484678349
rbf_paired,0.3,1.0,95,10,ols,4,True,True,0.1117819823636461
rbf_unpaired,0.3,1.0,95,10,ols,4,True,True,0.22820446658835636
rbf_combined,0.3,1.0,95,10,ols,4,True,True,0.12257012028185856
matcomplete,0.3,1.0,95,10,na,0,True,True,0.09056753491171576
rbf_paired,0.3,1.0,95,11,ols,4,True,True,0.09134617836733698
rbf_unpaired,0.3,1.0,95,11,ols,4,True,True,0.10300704707927853
rbf_combined,0.3,1.0,95,11,ols,4,True,True,0.09241752586344236
matcomplete,0.3,1.0,95,11,na,0,True,True,0.09446786335310685
rbf_paired,0.3,1.0,95,12,ols,4,True,True,0.11764018688160838
rbf_unpaired,0.3,1.0,95,12,ols,4,True,True,0.14389543285869488
rbf_combined,0.3,1.0,95,12,ols,4,True,True,0.10704712618382876
matcomplete,0.3,1.0,95,12,na,0,True,True,0.09851162053880068
rbf_paired,0.3,1.0,95,13,ols,4,True,True,0.1056569231123312
rbf_unpaired,0.3,1.0,95,13,ols,4,True,True,0.1864926904855485
rbf_combined,0.3,1.0,95,13,ols,4,True,True,0.10389304122493383
matcomplete,0.3,1.0,95,13,na,0,True,True,0.08423929013622178
rbf_paired,0.3,1.0,95,14,ols,4,True,True,0.09749213212510856
rbf_unpaired,0.3,1.0,95,14,ols,4,True,True,0.1333422676189369
rbf_combined,0.3,1.0,95,14,ols,4,True,True,0.11671222428596484
matcomplete,0.3,1.0,95,14,na,0,True,True,0.09117868063094882
rbf_paired,0.3,1.0,95,15,ols,4,True,True,0.09605649788772969
rbf_unpaired,0.3,1.0,95,15,ols,4,True,True,0.13289461161294794
rbf_combined,0.3,1.0,95,15,ols,4,True,True,0.0959821172598428
matcomplete,0.3,1.0,95,15,na,0,True,True,0.10633678995838727
rbf_paired,0.3,1.0,95,16,ols,4,True,True,0.09070393221008778
rbf_unpaired,0.3,1.0,95,16,ols,4,True,True,0.1125311507140461
rbf_combined,0.3,1.0,95,16,ols,4,True,True,0.12259257303457252
matcomplete,0.3,1.0,95,16,na,0,True,True,0.08560053591354104
rbf_paired,0.3,1.0,95,17,ols,4,True,True,0.10480296682732372
rbf_unpaired,0.3,1.0,95,17,ols,4,True,True,0.14446017465139885
rbf_combined,0.3,1.0,95,17,ols,4,True,True,0.11106759786570483
matcomplete,0.3,1.0,95,17,na,0,True,True,0.08944143919093946
rbf_paired,0.3,1.0,95,18,ols,4,True,True,0.10327480053587622
rbf_unpaired,0.3,1.0,95,18,ols,4,True,True,0.10749762937105416
rbf_combined,0.3,1.0,95,18,ols,4,True,True,0.09822556412106419
matcomplete,0.3,1.0,95,18,na,0,True,True,0.09451400387179346
rbf_paired,0.3,1.0,95,19,ols,4,True,True,0.12217038596081982
rbf_unpaired,0.3,1.0,95,19,ols,4,True,True,0.10718566948847004
rbf_combined,0.3,1.0,95,19,ols,4,True,True,0.10907896132279658
matcomplete,0.3,1.0,95,19,na,0,True,True,0.10020708420939987
rbf_paired,0.3,1.0,95,20,ols,4,True,True,0.09474866401290205
rbf_unpaired,0.3,1.0,95,20,ols,4,True,True,0.14480162922879905
rbf_combined,0.3,1.0,95,20,ols,4,True,True,0.10258758582744759
matcomplete,0.3,1.0,95,20,na,0,True,True,0.08898837891217062
